Country,CTS Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Croatia, Rep. of",Expenditure on Pollution Abatement,5771000.003192243,6097000.003140533,7481000.00351018,10095000.00430351,7556000.002984273,8952000.00328685,9376000.003157826,7902000.002433002,8379000.00239978,10596000.003178785,8918000.002684342,8430000.002497245,8402000.00251111,8776000.002612256,11875000.003541678,12337000.003585972,12896000.003623266,11267000.003025876,22390000.005728453,20227000.00490675,18073000.00477688,25987000.006034747
"Croatia, Rep. of",Expenditure on Waste Management,19014000.01051764,21892000.011276457,23890000.011209488,29207000.012450974,29261000.011556752,27227000.009996768,25606000.008624077,17546000.00540236,31559000.009038627,28439000.008531656,28444000.00856172,24124000.00714633,28507000.008519903,25034000.007451594,34055000.01015679,27229000.007914603,29344000.008244503,31856000.00855528,161913000.04142523,159060000.03858545,175473000.04637936,199132000.04624277
"Croatia, Rep. of",Expenditure on Waste Water Management,18824000.01041254,20743000.010684613,24518000.011504155,29229000.012460355,28798000.01137389,25121000.00922352,37758000.01271686,43099000.01327005,39145000.01121129,46268000.01388033,38057000.01145526,42272000.01252237,22414000.006698884,33292000.00990966,19477000.00580895,97739000.02840962,82500000.02317923,62414000.01676196,113675000.0290836,123522000.02996449,127138000.03360389,120700000.02802916
Cyprus,Environmental Protection Expenditures,22800000.215195846,27000000.236491516,27700000.233223878,31500000.245227788,37100000.267748244,42400000.28605354,43200000.26999831,46900000.267822474,51500000.27091575,54600000.29236165,58300000.300363734,60600000.3060127,54100000.27828359,44003000.244530395,45775000.26262041,62800000.351157755,46300000.244595654,55600000.274630286,55800000.258181535,61800000.26858005,74400000.34415923,89800000.38316138
Cyprus,Expenditure on Biodiversity & Landscape Protection,100000.000943841,100000.000875895,100000.000841963,200000.001557002,200000.001443387,200000.001349309,200000.001249992,0.0,1100000.00578655,600000.003212765,0.0,0.0,0.0,0.0,0.0,1200000.006710021,1100000.005811128,1000000.004939394,1300000.006014982,2000000.008691911,5400000.0249793,500000.002133415
Cyprus,Expenditure on Environmental Protection Not Elsewhere Classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Expenditure on Environmental Protection R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,Expenditure on Pollution Abatement,800000.007550731,900000.007883051,1100000.009261598,1200000.009342011,1200000.008660321,1300000.008770509,1500000.009374941,1800000.010278901,2200000.0115731,2400000.012851062,3800000.019577739,3500000.017674001,4100000.021089884,2700000.015004251,2500000.014343004,2500000.01397921,7600000.04014961,4000000.019757575,3600000.016656873,4000000.017383822,3800000.017578026,5000000.021334153
Cyprus,Expenditure on Waste Management,21600000.20386975,25600000.224228993,26100000.219752464,29600000.230436273,35300000.25475776,40500000.273235105,41000000.2562484,43900000.250690974,46600000.2451393,50400000.26987229,53500000.27563396,56400000.2848039,50000000.25719371,41303000.22952615,43275000.2482774,43600000.24379742,37600000.198634915,41000000.20251514,45900000.212375134,50600000.21990535,51000000.23591561,62600000.26710359
Cyprus,Expenditure on Waste Water Management,300000.002831524,400000.003503578,400000.003367854,500000.003892505,400000.002886774,400000.002698618,500000.00312498,1200000.006852601,1600000.0084168,1200000.006425531,1000000.005152037,700000.0035348,0.0,0.0,0.0,15500000.086671103,0.0,9600000.047418179,5000000.023134546,5200000.022598968,14200000.065686306,21700000.09259022
Czech Rep.,Environmental Protection Expenditures,20770000000.870388,22208000000.86107,24009000000.8922,29812000001.05587,31229000001.01419,35302000001.07445,37598000001.064835,36919000000.956566,36714000000.90812,27092000000.685123,39465000000.98839,51885000001.27722,53911000001.31847,41598000001.004105,46147000001.06188,51312000001.10936,35940000000.74924,40972000000.80168,46073000000.85151,48298000000.83395,51459000000.901344,56911000000.93168
Czech Rep.,Expenditure on Biodiversity & Landscape Protection,2961000000.124084,3046000000.118102,3436000000.1276855,3962000000.1403246,6941000000.225415,8230000000.250487,8640000000.244698,8733000000.22627,8408000000.207972,11319000000.286243,11531000000.28879,10756000000.264774,12215000000.298735,13182000000.31819,12368000000.2846,10668000000.23064,9484000000.197712,10599000000.207386,12648000000.233757,12507000000.215954,13235000000.231821,14074000000.230404
Czech Rep.,Expenditure on Environmental Protection Not Elsewhere Classified,1233000000.05167,1357000000.0526147,1552000000.0576742,1617000000.0572703,1679000000.054527,1747000000.0531714,1920000000.0543773,2003000000.0518975,2337000000.0578055,-10419000000.263483,-3130000000.0783896,1678000000.0413065,2191000000.053584,792000000.0191175,2359000000.0542827,2353000000.0508714,2172000000.0452795,2364000000.0462556,2379000000.0439677,2580000000.044548,2574000000.045086,2688000000.044005
Czech Rep.,Expenditure on Environmental Protection R&D,741000000.0310524,724000000.0280715,800000000.0297289,688000000.0243673,753000000.0244544,910000000.0276966,684000000.019372,848000000.0219716,954000000.0235971,953000000.0241002,947000000.0237173,955000000.0235087,851000000.0208124,874000000.0210968,956000000.0219984,1125000000.0243223,970000000.0202215,1003000000.0196253,1316000000.0243218,1436000000.024795,1404000000.0245922,1533000000.0250964
Czech Rep.,Expenditure on Pollution Abatement,652000000.0273228,710000000.0275288,733000000.0272391,896000000.0317342,968000000.0314367,950000000.0289141,1062000000.0300775,695000000.0180074,488000000.01207066,563000000.0142376,2430000000.0608582,8766000000.215788,9136000000.223434,1089000000.0262866,1172000000.0269687,1058000000.0228738,473000000.0098606,393000000.00768965,344000000.0063577,1627000000.0280929,2387000000.04181,2934000000.048032
Czech Rep.,Expenditure on Waste Management,7417000000.310818,7489000000.29037,8103000000.301117,9467000000.335299,8824000000.286568,10029000000.30524,10681000000.302502,10879000000.281874,11091000000.274336,11558000000.292288,12367000000.309727,12134000000.298697,12318000000.301254,12386000000.298975,13660000000.31433,14716000000.318157,13221000000.275618,14071000000.275322,15838000000.292713,16551000000.285782,16970000000.297243,19132000000.313206
Czech Rep.,Expenditure on Waste Water Management,7766000000.325442,8882000000.34438,9385000000.348757,13182000000.466875,12064000000.391788,13436000000.408936,14611000000.413807,13761000000.356546,13436000000.332338,13118000000.331738,15320000000.383684,17596000000.43315,17200000000.42065,13275000000.320435,15632000000.359707,21392000000.46249,9620000000.200548,12542000000.245405,13548000000.25039,13597000000.234776,14889000000.260794,16550000000.270937
Denmark,Environmental Protection Expenditures,6674000000.502973,8301000000.605238,9606000000.681145,8963000000.623838,8488000000.563611,9886000000.623335,9663000000.574406,9022000000.51885,8203000000.45535,7588000000.440614,7447000000.411226,7083000000.383517,7578000000.399894,9130000000.473137,9196000000.46417,8615000000.42306,8498000000.403168,8869000000.40443,8938000000.39666,8981000000.388628,9383000000.403757,9249000000.369343
